 ident,name,latitude_deg,longitude_deg
00A,Total Rf Heliport,40.07080078,-74.93360138
00AA,Aero B Ranch Airport,38.704022,-101.473911
00AK,Lowell Field,59.94919968,-151.6959991
00AL,Epps Airpark,34.8647995,-86.77030182
00AR,Newport Hospital & Clinic Heliport,35.6087,-91.254898
00AS,Fulton Airport,34.9428028,-97.8180194
00AZ,Cordes Airport,34.30559921,-112.1650009
00CA,Goldstone /Gts/ Airport,35.3504982,-116.8880005
00CL,Williams Ag Airport,39.427188,-121.763427
00CN,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417
00CO,Cass Field,40.622202,-104.344002
00FA,Grass Patch Airport,28.64550018,-82.21900177
00FD,Ringhaver Heliport,28.84659958,-82.34539795
00FL,River Oak Airport,27.23089981,-80.96920013
00GA,Lt World Airport,33.76750183,-84.06829834
00GE,Caffrey Heliport,33.88420105,-84.73390198
00HI,Kaupulehu Heliport,19.832715,-155.980233
00ID,Delta Shores Airport,48.14530182,-116.2139969
00IG,Goltl Airport,39.724028,-101.395994
00II,Bailey Generation Station Heliport,41.64450073,-87.12280273
00IL,Hammer Airport,41.97840118,-89.56040192
00IN,St Mary Medical Center Heliport,41.51139832,-87.26059723
00IS,Hayenga's Cant Find Farms Airport,40.02560043,-89.12290192
00KS,Hayden Farm Airport,38.72779846,-94.93049622
00KY,Robbins Roost Airport,37.40940094,-84.61969757
00LA,Shell Chemical East Site Heliport,30.191944,-90.980833
00LL,Ac & R Components Heliport,39.66529846,-89.70559692
00LS,Lejeune Airport,30.13629913,-92.42939758
00MD,Slater Field,38.75709915,-75.75379944
00MI,Dow Chemical Heliport,43.94940186,-86.41670227
00MN,Battle Lake Municipal Airport,46.29999924,-95.70030212
00MO,Cooper Flying Service Airport,37.20280075,-94.41239929
00MT,Sands Ranch Airport,48.537498,-109.705002
00N,Bucks Airport,39.47320175,-75.18520355
00NC,North Raleigh Airport,36.08520126,-78.37139893
00NJ,Colgate-Piscataway Heliport,40.52090073,-74.47460175
00NK,Cliche Cove Seaplane Base,44.8118612,-73.3698057
00NY,Weiss Airfield,42.90010071,-77.49970245
00OH,Exit 3 Airport,41.59090042,-84.14219666
00OI,Miami Valley Hospital Heliport,39.74530029,-84.18740082
00OK,Gull Bay Landing Airport,36.198598,-96.217693
00OR,Steel Systems Heliport,44.93289948,-123.1299973
00PA,R J D Heliport,39.94889832,-75.74690247
00PN,Ferrell Field,41.2995,-80.211111
00PS,Thomas Field,40.3778,-77.365303
00S,Mc Kenzie Bridge State Airport,44.18320084,-122.0889969
00SC,Flying O Airport,34.00939941,-80.26719666
00SD,Homan Field,44.809158,-96.498897
00TA,Sw Region Faa Heliport,32.82690048,-97.30580139
00TE,Tcjc-Northeast Campus Heliport,32.84759903,-97.1894989
00TN,Ragsdale Road Airport,35.51589966,-85.95359802
00TS,Alpine Range Airport,32.60760117,-97.24199677
00TX,San Jacinto Methodist Hospital Heliport,29.7377,-94.980201
00UT,Clear Creek Ranch Airport,37.247799,-112.821998
00VA,Vaughan Airport,36.57600021,-78.9991684
00VI,Groundhog Mountain Airport,36.66329956,-80.49949646
00W,Lower Granite State Airport,46.67350006,-117.4430008
00WA,Howell Airport,47.17839813,-122.7720032
00WI,Northern Lite Airport,44.3042984,-89.05010223
00WN,Hawks Run Airport,46.25,-117.2490005
00WV,Lazy J. Aerodrome,38.82889938,-79.8660965
00WY,Mountain View Regional Hospital Heliport,42.840361,-106.224443
00XS,L P Askew Farms Airport,33.03340149,-101.9339981
01A,Purkeypile Airport,62.9435997,-152.2700043
01AK,Providence Seward Medical Center Heliport,60.10587398,-149.446249
01AL,Ware Island Airport,32.94599915,-86.51390076
01AR,Community Hospital of De Queen Heliport,34.04729843,-94.35489655
01AZ,Yat Heliport,34.60810089,-111.8649979
01C,Grant Airport,43.34170151,-85.77500153
01CA,Lugo Substation Heliport,34.36824059,-117.3700587
01CL,Swansboro Country Airport,38.79990005,-120.7340012
01CN,Los Angeles County Sheriff's Department Heliport,34.03779984,-118.1539993
01CO,St Vincent General Hospital Heliport,39.24530029,-106.2460022
01CT,Berlin Fairgrounds Heliport,41.62730026,-72.72750092
01FA,Rybolt Ranch Airport,28.58939934,-81.14420319
01FD,Advent Health Altamonte Springs Heliport,28.666639,-81.3697
01FL,Cedar Knoll Flying Ranch Airport,28.78190041,-81.15920258
01GA,Medical Center Heliport,32.47930145,-84.97910309
01GE,The Farm Airport,32.67440033,-82.77110291
01IA,Stender Airport,41.66109848,-90.74130249
01ID,Lava Hot Springs Airport,42.6082,-112.031998
01II,Myers Field,39.88499832,-86.50669861
01IL,Hoopeston Community Memorial Hospital Heliport,40.45859909,-87.65950012
01IN,Community Hospital Heliport,40.13090134,-85.69580078
01IS,William E. Koenig Airport,39.01620102,-90.31819916
01J,Hilliard Airpark,30.68630028,-81.90570068
01K,Caldwell Municipal Airport,37.03609848,-97.58640289
01KS,Flying N Ranch Airport,38.54059982,-97.00330353
01KY,Lourdes Hospital Heliport,37.05170059,-88.64689636
01LA,Barham Airport,32.63899994,-91.7736969
01LL,Schumaier Restricted Landing Area,38.12580109,-89.46389771
01LS,Country Breeze Airport,30.70599937,-91.07740021
01MA,Compaq Andover Heliport,42.62509918,-71.18009949
01MD,Annapolis Seaplane Base,38.999199,-76.456001
01ME,Saint Peter's Seaplane Base,46.77890015,-68.50029755
01MI,Flow Through Terminal Heliport,43.04949951,-83.67970276
01MN,Barnes Seaplane Base,47.89960098,-92.55740356
01MO,Highway Patrol Troop C Headquarters Heliport,38.64170074,-90.48429871
