airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,he_ident
00A,80,80,ASPH-G,1,0,H1,
00AK,2500,70,GRVL,0,0,N,S
00AL,2300,200,TURF,0,0,1,19
00AR,40,40,GRASS,0,0,H1,H1
00AS,1450,60,Turf,0,0,1,19
00AZ,1700,60,GRAVEL,0,0,15,33
00CA,6000,80,ASPH,0,0,4,22
00CO,3900,20,TURF-G,0,0,16,34
00FA,3200,100,TURF,0,0,8,26
00FD,74,74,TURF,0,0,H1,
00FL,4090,100,TURF,0,0,12,30
00GA,2600,80,TURF,0,0,9,27
00GE,125,95,ASPH,1,0,H1,
00HI,1155,45,ASPH-G,0,0,H1,
00ID,3300,40,TURF,0,0,8,26
00ID,2700,40,TURF,0,0,11,29
00IL,2500,75,TURF-F,0,0,18,36
00IN,40,40,MATS,1,0,H1,
00IS,1600,70,TURF,0,0,E,W
00KS,2600,85,TURF,0,0,17,35
00KY,2100,100,TURF,0,0,1,19
00LA,40,40,TURF,0,0,H1,
00LL,25,25,CONC,0,0,H1,
00LS,2600,100,TURF,0,0,18,36
00MD,1700,75,TURF,0,0,14,32
00MI,100,100,TURF,0,0,H1,
00MN,2949,200,TURF-G,1,0,6,24
00MO,2400,25,TURF,0,0,8,26
00MT,2000,75,TURF,0,0,E,W
00N,1900,150,TURF-G,1,0,18,36
00NC,2650,36,ASPH-G,0,0,5,23
00NJ,50,50,ASPH,0,0,H1,
00NY,2350,80,TURF,1,0,3,21
00OH,2695,90,TURF-G,0,0,8,26
00OI,42,42,CONC,0,0,H1,
00OK,2200,60,Turf/Dirt,0,0,17,35
00PA,80,80,TURF-G,0,0,H1,
00PN,500,75,TURF,0,0,12,30
00PS,3100,100,TURF-G,0,0,8,26
00S,2600,90,TURF-P,0,0,6,24
00SC,2900,100,TURF,0,0,8,26
00SD,2400,50,Turf,0,0,18,36
00TA,85,85,CONC-G,0,0,H1,
00TE,48,48,TURF,0,0,H1,
00TN,1800,150,TURF,0,0,9,27
00TS,1200,45,TURF,0,0,1,19
00TX,50,50,CONC,0,0,H1,
00VA,1300,100,TURF,0,0,1,19
00VI,1500,50,TURF,0,0,9,27
00W,3400,50,GRAVEL-F,0,0,14,32
00WA,1105,70,TURF-G,0,0,8,26
00WI,1000,60,TURF,0,0,9,27
00WN,1440,50,TURF-G,0,0,5,23
